Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
 World,Togo,2016,EXPIMP,Plastic or Rubber,177732.04,16216.65,1.68,0.89,1,-7.78,-7.78,1.02,1.71,424,18.63,81.37,0,0,35,0,0,24113.37,10266.26,9.8,13.71,21964,78.55,20.1,9.91,59.91,400,0,653.41,34379.62,0
 World,Thailand,2016,EXPIMP,Plastic or Rubber,8763795.04,24320337.46,4.72,10.15,1,0.87,0.87,5.43,5.37,14326,59.79,40.07,0.03,0.1,400,0,413253.06,22631040.63,24913.42,8,7.23,41855,74.95,23.78,0.31,3.39,400,0,1858449.19,22655954.05,0
 World,Tajikistan,2016,EXPIMP,Plastic or Rubber,149232.95,5230.38,4.27,0.63,,,,11.52,7.27,197,50.25,49.75,0,0,30,0,0,5153.57,51.17,9.29,5.97,11165,77.31,21.73,2.54,51.78,400,0,411.86,5204.73,0
 World,Tokelau,2016,EXPIMP,Plastic or Rubber,311.39,833.15,4.2,4.68,,,,7.9,3.75,353,59.77,40.23,0,0,40,0,0,108.21,130.99,10.49,7.67,9284,79.89,19,3.4,25.78,400,0,32.29,239.19,0
 World,Turkmenistan,2016,EXPIMP,Plastic or Rubber,194027.63,80752.38,3.09,1.03,,,,1.17,3.52,253,36.36,63.64,0,0,35,0,0,69367.46,215.89,9.94,4.52,9339,79.1,19.96,3.56,31.23,400,0,29.69,69583.35,0
 World,East Timor,2016,EXPIMP,Plastic or Rubber,19598.18,34.72,3.24,0.05,,,,4.24,4.65,34,70.59,26.47,0,2.94,15,0,0,22.16,1.01,10.26,9.65,2621,77.41,21.52,20.59,61.76,200,0,0.08,23.17,0
 World,Tonga,2016,EXPIMP,Plastic or Rubber,8502.33,13.4,3.91,0.09,,,,4.22,0.65,38,31.58,68.42,0,0,20,0,0,1.79,25.58,8.54,10.79,3361,75.69,23.68,7.89,47.37,50,0,24.26,27.37,0
 World,Trinidad and Tobago,2016,EXPIMP,Plastic or Rubber,263149.27,40276.65,3.94,0.47,,,,1.56,2.23,1100,19.64,80.27,0,0.09,45,0,0,27908.97,2009.68,9.44,10.58,24692,78.89,19.93,1.18,25.18,400,0,468.28,29918.65,0
 World,Tunisia,2016,EXPIMP,Plastic or Rubber,2047604.62,381100.05,6.87,2.74,1,2.34,2.34,2.92,4.23,3343,35.54,64.43,0.03,0,35,0,4797.44,293730.34,17320.95,8.28,9.37,34157,76.21,22.6,0.48,11.61,400,0,11421.87,311051.29,0
 World,Turkey,2016,EXPIMP,Plastic or Rubber,18104656.02,6713063.92,7.08,4.98,1,-2.07,-2.07,5.02,7.3,14628,57.51,42.27,0.01,0.21,400,0,350486.8,6208340.38,845.08,8.03,10.03,41577,75.04,23.69,0.31,3.29,400,0,988876.21,6209185.46,0
 World,Tuvalu,2016,EXPIMP,Plastic or Rubber,535.2,173.11,0.91,0.4,,,,3.05,5.01,36,27.78,72.22,0,0,20,0,0,79.63,75.8,8.65,8.53,3371,74.61,24.74,5.56,55.56,50,0,0.23,155.43,0
 World,Tanzania,2016,EXPIMP,Plastic or Rubber,641261.06,19746.12,6.12,0.42,1,-3.09,-3.09,0.74,1.95,995,16.38,83.62,0,0,30,0,0,17875.45,10128.88,9.03,9.7,27098,77.77,21.01,2.11,31.06,400,0,1525.75,28004.32,0
 World,Uganda,2016,EXPIMP,Plastic or Rubber,172223.85,13005.46,5.24,0.85,1,-5.25,-5.25,1.56,4.55,592,25,75,0,0,30,0,0,7591.71,5995.11,8.88,9.27,24311,77.16,21.7,2.2,44.76,400,0,118.46,13586.82,0
 World,Ukraine,2016,EXPIMP,Plastic or Rubber,3838301.18,428154.69,6.75,1.13,1,4.11,4.11,2.27,3.84,4266,40.25,59.73,0,0.02,50,0,0,400181.14,13967.14,8.26,9.96,36960,75.76,23.03,0.7,9.75,400,0,22526.66,414148.28,0
 World,United States Minor Outlying I,2016,EXPIMP,Plastic or Rubber,433.92,246.94,1.16,2.29,,,,7.59,3.66,196,74.49,25.51,0,0,35,0,0,101.57,140.16,9.35,7.46,9584,76.83,22.11,1.53,50.51,400,0,1.35,241.72,0
 World,Unspecified,2016,EXPIMP,Plastic or Rubber,1595954.43,4239070.07,0.31,1.39,,,,7.77,6.56,5833,79.56,20.35,0.02,0.07,60,0,633.16,3279916.03,0,8.05,7.08,41359,75.1,23.63,0.77,8.25,400,0,292460.31,3279916.03,0
 World,Uruguay,2016,EXPIMP,Plastic or Rubber,568558.81,235395.23,4.62,2.61,1,-7.31,-7.31,3.49,3.15,1582,46.84,53.1,0,0.06,30,0,0,208371.57,22457.94,8.68,8.35,26414,76.98,21.89,0.88,18.02,400,0,3792.04,230829.51,0
 World,United States,2016,EXPIMP,Plastic or Rubber,84507390.63,73539457.48,3.48,5.39,1,-0.99,-0.99,6.98,6.82,25258,66.73,32.26,0.04,0.96,400,0,2278290.85,69541113.11,0,8,7.47,41855,74.95,23.78,0.18,1.92,400,0,3152519.59,69541113.11,0
 World,Uzbekistan,2016,EXPIMP,Plastic or Rubber,671797.24,429006.71,5.98,5.72,,,,1.35,2.44,689,30.48,69.52,0,0,20,0,0,359454.91,12020.53,9.58,4.59,15937,77.93,20.97,2.32,23.08,400,0,538.22,371475.44,0
 World,Holy See,2016,EXPIMP,Plastic or Rubber,225.1,6.56,0.28,0.14,,,,4.93,5.88,72,63.89,36.11,0,0,20,0,0,77.11,3.53,9.46,11.51,3451,78.09,21.39,2.78,22.22,400,0,0.08,80.64,0
 World,St. Vincent and the Grenadines,2016,EXPIMP,Plastic or Rubber,7514.75,709.53,2.4,0.29,1,-3.74,-3.74,2.07,2.98,242,16.94,83.06,0,0,25,0,0,431.26,355.08,9.56,9.7,9835,78.62,20.66,1.24,28.1,400,0,65.68,786.34,0
 World,Venezuela,2016,EXPIMP,Plastic or Rubber,626065.57,44229.37,3.63,0.15,,,,6.58,5.22,1391,64.99,34.94,0,0.07,30,0,0,39522.71,2081.58,9.08,7.37,27444,77.4,21.39,2.01,22,400,0,1155.64,41604.29,0
 World,British Virgin Islands,2016,EXPIMP,Plastic or Rubber,12227.56,9432.73,0.55,1.37,,,,8.11,9.76,524,57.06,42.94,0,0,45,0,0,8886.75,348.07,9.35,13.24,15650,78.52,20.38,2.67,30.34,400,0,150.15,9234.82,0
 World,Vietnam,2016,EXPIMP,Plastic or Rubber,11505356.17,5544223.7,5.45,2.55,1,4.96,4.96,4.54,5.65,8433,58.51,41.39,0,0.11,400,0,0,5033459.71,1167.68,8.06,9.08,41194,75.13,23.6,0.53,5.68,400,0,351790.31,5034627.39,0
 World,Vanuatu,2016,EXPIMP,Plastic or Rubber,11761.1,107.57,2.9,0.04,,,,5.86,3.2,77,67.53,32.47,0,0,45,0,0,20.17,31.2,9.19,8.54,4834,77.7,21.64,10.39,31.17,60,0,3.5,51.37,0
 World, World,2016,EXPIMP,Plastic or Rubber,766113477.88,704145964.71,4.36,4.5,1,-1.08,-1.08,5.33,5.52,720783,58.21,41.53,0.03,0.24,400,0,32273819.51,486491807.33,0,8,8.02,41855,74.95,23.78,0.01,0.07,400,0,39899122.42,486491807.25,0
 World,Wallis and Futura Isl.,2016,EXPIMP,Plastic or Rubber,1142.19,26.23,2.37,3.45,,,,6.6,0.87,29,75.86,24.14,0,0,15,0,0,2.48,13.8,9.61,5.45,2798,77.95,21.23,10.34,68.97,50,0,0.12,16.28,0
 World,Samoa,2016,EXPIMP,Plastic or Rubber,18840.88,2827.37,5.24,4.42,1,-10.24,-10.24,5.99,3.75,211,73.46,26.54,0,0,25,0,0,1483.84,1384.67,9.49,5.23,8744,78.13,20.99,1.42,35.07,400,0,2.97,2868.51,0
 World,Yemen,2016,EXPIMP,Plastic or Rubber,346608.47,13066.34,4.68,1.37,,,,3.1,2.93,188,31.91,68.09,0,0,25,0,0,12978.61,718.96,10.11,7.55,7877,79.38,19.47,5.85,42.02,400,0,12.39,13697.58,0
 World,South Africa,2016,EXPIMP,Plastic or Rubber,4802057.71,1329425.14,4.88,1.38,1,-3.59,-3.59,3.52,5.01,10128,44.18,55.72,0.01,0.09,400,0,18614.29,1704249.19,22753.86,8,8.27,41855,74.95,23.78,0.44,4.79,400,0,125095.47,1727003.06,0
 World,"Congo, Dem. Rep.",2016,EXPIMP,Plastic or Rubber,216845.63,2102.36,4.02,0.04,,,,9.18,1.7,341,46.33,53.67,0,0,50,0,0,309.23,1712.38,10.31,5.26,11204,79.18,19.89,3.52,27.27,400,0,40.65,2021.61,0
 World,Zambia,2016,EXPIMP,Plastic or Rubber,243360.06,6068.13,5.5,0.11,,,,0.51,0.7,650,9.69,90.31,0,0,30,0,0,3367.27,3155.59,9.88,10.03,21565,79.05,19.69,5.08,36.46,400,0,79.65,6522.86,0
 World,Zimbabwe,2016,EXPIMP,Plastic or Rubber,212514.82,1529.09,6.44,0.07,1,-6.9,-6.9,0.66,0.41,582,14.6,85.22,0.17,0,30,0,11.83,814.43,4265.9,9.68,9.64,17887,78.65,20.27,3.26,29.73,400,0,434.17,5080.33,0
