Id,Year
1,1950
2,1950
3,1950
4,1950
5,1950
6,1950
7,1950
8,1950
9,1950
10,1950
11,1950
12,1950
13,1950
14,1950
15,1950
16,1950
17,1950
18,1950
19,1950
20,1950
21,1950
22,1950
23,1950
24,1950
25,1950
26,1950
27,1950
28,1950
29,1950
30,1950
31,1950
32,1950
33,1950
34,1950
35,1950
36,1950
37,1950
38,1950
39,1950
40,1950
41,1950
42,1950
43,1950
44,1950
45,1950
46,1950
47,1950
48,1950
49,1950
50,1950
51,1950
52,1950
53,1950
54,1950
55,1950
56,1950
57,1950
58,1950
59,1950
60,1950
61,1950
62,1950
63,1950
64,1950
65,1950
66,1950
67,1950
68,1950
69,1950
70,1950
71,1950
72,1950
73,1950
74,1950
75,1950
76,1950
77,1950
78,1950
79,1950
80,1950
81,1950
82,1950
83,1950
84,1950
85,1950
86,1950
87,1950
88,1950
89,1950
90,1950
91,1950
92,1950
93,1950
94,1950
95,1950
96,1950
97,1950
98,1950
99,1950
100,1950
101,1950
102,1950
103,1950
104,1950
105,1950
106,1950
107,1950
108,1950
109,1950
110,1950
111,1950
112,1950
113,1950
114,1950
115,1950
116,1950
117,1950
118,1950
119,1950
120,1950
121,1950
122,1950
123,1950
124,1950
125,1950
126,1950
127,1950
128,1950
129,1950
130,1950
131,1950
132,1950
133,1950
134,1950
135,1950
136,1950
137,1950
138,1950
139,1950
140,1950
141,1950
142,1950
143,1950
144,1950
145,1950
146,1950
147,1950
148,1950
149,1950
150,1950
151,1950
152,1950
153,1950
154,1950
155,1950
156,1950
157,1950
158,1950
159,1950
160,1950
161,1950
162,1950
163,1950
164,1950
165,1950
166,1950
167,1950
168,1950
169,1950
170,1950
171,1950
172,1950
173,1950
174,1950
175,1950
176,1950
177,1950
178,1950
179,1950
180,1950
181,1950
182,1950
183,1950
184,1950
185,1950
186,1950
187,1950
188,1950
189,1950
190,1950
191,1950
192,1950
193,1950
194,1950
195,1950
196,1950
197,1950
198,1950
199,1950
200,1950
201,1950
202,1950
203,1950
204,1950
205,1950
206,1950
207,1950
208,1950
209,1950
210,1950
211,1950
212,1950
213,1950
214,1950
215,1950
216,1950
217,1950
218,1950
219,1950
220,1950
221,1950
222,1950
223,1950
224,1950
225,1950
226,1950
227,1950
228,1950
229,1950
230,1950
231,1950
232,1950
233,1950
234,1950
235,1950
236,1950
237,1950
238,1950
239,1950
240,1950
241,1950
242,1950
243,1950
244,1950
245,1950
246,1950
247,1950
248,1950
249,1950
250,1950
251,1950
252,1950
253,1950
254,1950
255,1950
256,1950
257,1950
258,1950
259,1950
260,1950
261,1950
262,1950
263,1950
264,1950
265,1950
266,1950
267,1950
268,1950
269,1950
270,1950
271,1950
272,1950
273,1950
274,1950
275,1950
276,1950
277,1950
278,1950
279,1950
280,1950
281,1951
282,1951
283,1951
284,1951
285,1951
286,1951
287,1951
288,1951
289,1951
290,1951
291,1951
292,1951
293,1951
294,1951
295,1951
296,1951
297,1951
298,1951
299,1951
300,1951
301,1951
302,1951
303,1951
304,1951
305,1951
306,1951
307,1951
308,1951
309,1951
310,1951
311,1951
312,1951
313,1951
314,1951
315,1951
316,1951
317,1951
318,1951
319,1951
320,1951
321,1951
322,1951
323,1951
324,1951
325,1951
326,1951
327,1951
328,1951
329,1951
330,1951
331,1951
332,1951
333,1951
334,1951
335,1951
336,1951
337,1951
338,1951
339,1951
340,1951
341,1951
342,1951
343,1951
344,1951
345,1951
346,1951
347,1951
348,1951
349,1951
350,1951
351,1951
352,1951
353,1951
354,1951
355,1951
356,1951
357,1951
358,1951
359,1951
360,1951
361,1951
362,1951
363,1951
364,1951
365,1951
366,1951
367,1951
368,1951
369,1951
370,1951
371,1951
372,1951
373,1951
374,1951
375,1951
376,1951
377,1951
378,1951
379,1951
380,1951
381,1951
382,1951
383,1951
384,1951
385,1951
386,1951
387,1951
388,1951
389,1951
390,1951
391,1951
392,1951
393,1951
394,1951
395,1951
396,1951
397,1951
398,1951
399,1951
400,1951
401,1951
402,1951
403,1951
404,1951
405,1951
406,1951
407,1951
408,1951
409,1951
410,1951
411,1951
412,1951
413,1951
414,1951
415,1951
416,1951
417,1951
418,1951
419,1951
420,1951
421,1951
422,1951
423,1951
424,1951
425,1951
426,1951
427,1951
428,1951
429,1951
430,1951
431,1951
432,1951
433,1951
434,1951
435,1951
436,1951
437,1951
438,1951
439,1951
440,1951
441,1951
442,1951
443,1951
444,1951
445,1951
446,1951
447,1951
448,1951
449,1951
450,1951
451,1951
452,1951
453,1951
454,1951
455,1951
456,1951
457,1951
458,1951
459,1951
460,1951
461,1951
462,1951
463,1951
464,1951
465,1951
466,1951
467,1951
468,1951
469,1951
470,1951
471,1951
472,1951
473,1951
474,1951
475,1951
476,1951
477,1951
478,1951
479,1951
480,1951
481,1951
482,1951
483,1951
484,1951
485,1951
486,1951
487,1951
488,1951
489,1951
490,1951
491,1951
